ticker,correlation,abs_correlation,data_points
3033.HK,0.8664,0.8664,736
3088.HK,0.8612,0.8612,736
0241.HK,0.8378,0.8378,736
3636.HK,0.8207,0.8207,79
2828.HK,0.809,0.809,499
2382.HK,0.8052,0.8052,736
2342.HK,0.7578,0.7578,736
0388.HK,0.7499,0.7499,736
3900.HK,0.7268,0.7268,736
3130.HK,0.7133,0.7133,735
2800.HK,0.7115,0.7115,736
2371.HK,0.7033,0.7033,736
1456.HK,0.6981,0.6981,736
1211.HK,0.6964,0.6964,736
0700.HK,0.6909,0.6909,736
2833.HK,0.6856,0.6856,732
3008.HK,0.6835,0.6835,494
6160.HK,0.6818,0.6818,736
6030.HK,0.6814,0.6814,736
1658.HK,0.6732,0.6732,736
1870.HK,-0.6725,0.6725,736
2020.HK,0.6715,0.6715,736
2192.HK,0.6697,0.6697,736
1810.HK,0.668,0.668,736
0218.HK,0.667,0.667,736
1848.HK,0.6654,0.6654,736
0981.HK,0.6587,0.6587,736
2618.HK,0.6548,0.6548,736
3968.HK,0.6498,0.6498,736
1988.HK,0.6381,0.6381,736
1060.HK,0.6278,0.6278,736
2611.HK,0.6269,0.6269,736
1731.HK,0.6233,0.6233,736
1339.HK,0.6189,0.6189,736
0175.HK,0.6171,0.6171,736
2318.HK,0.6157,0.6157,736
2328.HK,0.6077,0.6077,736
1877.HK,0.6072,0.6072,736
2333.HK,0.6029,0.6029,736
2845.HK,0.6009,0.6009,736
2590.HK,0.5878,0.5878,204
1177.HK,0.587,0.587,736
6818.HK,0.5825,0.5825,736
0322.HK,0.5812,0.5812,736
0267.HK,0.5801,0.5801,736
0489.HK,0.5744,0.5744,703
1508.HK,0.5716,0.5716,736
2400.HK,0.5715,0.5715,736
3188.HK,0.5702,0.5702,735
0780.HK,0.5687,0.5687,736
1336.HK,0.5679,0.5679,736
1513.HK,0.5661,0.5661,736
1860.HK,0.5603,0.5603,736
0820.HK,0.5558,0.5558,502
0856.HK,0.5518,0.5518,736
1788.HK,0.5503,0.5503,736
3012.HK,0.5385,0.5385,736
1766.HK,0.5375,0.5375,736
1858.HK,0.5308,0.5308,736
2359.HK,0.5279,0.5279,736
2616.HK,0.5233,0.5233,736
0941.HK,0.5125,0.5125,736
2232.HK,0.5102,0.5102,736
3110.HK,0.5091,0.5091,736
1288.HK,0.5019,0.5019,736
1963.HK,0.4978,0.4978,736
2628.HK,0.496,0.496,736
3150.HK,0.4955,0.4955,594
3147.HK,0.4948,0.4948,735
2866.HK,0.4942,0.4942,736
2720.HK,0.4865,0.4865,57
1234.HK,-0.4842,0.4842,736
0602.HK,0.4833,0.4833,736
2789.HK,0.4809,0.4809,736
2768.HK,-0.4795,0.4795,61
0939.HK,0.4708,0.4708,736
2700.HK,0.4705,0.4705,736
0998.HK,0.4629,0.4629,736
2298.HK,0.4572,0.4572,736
1109.HK,0.4526,0.4526,736
3288.HK,-0.4504,0.4504,216
3660.HK,0.4496,0.4496,736
1818.HK,0.4457,0.4457,736
2111.HK,0.4454,0.4454,736
3328.HK,0.4438,0.4438,736
1995.HK,0.4381,0.4381,736
2128.HK,0.4379,0.4379,736
1171.HK,-0.4376,0.4376,736
0003.HK,0.4328,0.4328,736
1985.HK,0.4327,0.4327,736
0005.HK,0.4147,0.4147,736
2329.HK,0.4135,0.4135,736
3001.HK,0.4116,0.4116,735
1347.HK,0.4057,0.4057,736
0893.HK,0.4042,0.4042,736
0688.HK,0.4041,0.4041,736
6098.HK,0.3966,0.3966,736
0001.HK,0.3855,0.3855,736
1910.HK,-0.3845,0.3845,736
2013.HK,0.3777,0.3777,736
0269.HK,0.3743,0.3743,736
2638.HK,0.3737,0.3737,736
2656.HK,-0.373,0.373,154
3690.HK,0.3714,0.3714,736
3112.HK,0.3712,0.3712,736
0177.HK,0.3687,0.3687,736
1181.HK,-0.3657,0.3657,736
0880.HK,0.3648,0.3648,736
1112.HK,0.3561,0.3561,736
1970.HK,0.3557,0.3557,736
2165.HK,0.3543,0.3543,736
0288.HK,0.3537,0.3537,736
2698.HK,0.3518,0.3518,120
2651.HK,0.3425,0.3425,204
0992.HK,0.3368,0.3368,736
0823.HK,0.3368,0.3368,736
1448.HK,-0.3366,0.3366,736
1313.HK,0.336,0.336,736
0760.HK,0.3344,0.3344,736
0830.HK,-0.3269,0.3269,736
2722.HK,0.3266,0.3266,736
0682.HK,-0.3212,0.3212,736
1919.HK,0.3179,0.3179,736
2282.HK,0.3177,0.3177,736
0012.HK,0.3125,0.3125,736
3315.HK,-0.307,0.307,736
3377.HK,-0.2972,0.2972,736
2314.HK,0.2831,0.2831,736
3311.HK,0.2747,0.2747,736
2809.HK,0.2661,0.2661,736
0168.HK,0.2584,0.2584,736
0902.HK,0.2573,0.2573,736
0083.HK,0.2505,0.2505,736
1579.HK,0.2419,0.2419,736
1548.HK,0.2413,0.2413,736
0016.HK,0.2382,0.2382,736
1951.HK,0.2249,0.2249,736
0861.HK,0.2219,0.2219,736
0960.HK,0.207,0.207,736
0390.HK,0.2048,0.2048,736
2383.HK,-0.1997,0.1997,736
0386.HK,-0.1971,0.1971,736
3046.HK,0.1947,0.1947,491
0318.HK,0.1881,0.1881,736
0066.HK,0.1842,0.1842,736
1890.HK,0.183,0.183,736
0934.HK,0.1791,0.1791,736
2498.HK,0.1759,0.1759,572
1090.HK,-0.1703,0.1703,736
1052.HK,0.161,0.161,736
1928.HK,0.1557,0.1557,736
1755.HK,0.1532,0.1532,736
0655.HK,0.1489,0.1489,736
2202.HK,0.1467,0.1467,736
2562.HK,0.1423,0.1423,373
2883.HK,-0.1422,0.1422,736
2078.HK,0.1402,0.1402,736
0027.HK,0.1358,0.1358,736
0836.HK,-0.1324,0.1324,736
1038.HK,0.1209,0.1209,736
2455.HK,0.1125,0.1125,736
2678.HK,0.1113,0.1113,736
0101.HK,0.1091,0.1091,736
2319.HK,0.1058,0.1058,736
1164.HK,0.1045,0.1045,736
0006.HK,0.1024,0.1024,736
3156.HK,-0.0973,0.0973,532
0813.HK,0.0958,0.0958,736
1088.HK,0.0931,0.0931,736
1971.HK,-0.0797,0.0797,736
3068.HK,-0.0763,0.0763,735
3816.HK,-0.0748,0.0748,736
0520.HK,-0.0739,0.0739,736
1898.HK,0.0725,0.0725,736
1044.HK,0.0692,0.0692,736
2718.HK,-0.0681,0.0681,125
2007.HK,0.0669,0.0669,736
1028.HK,0.0631,0.0631,736
3165.HK,0.0618,0.0618,736
0330.HK,-0.0616,0.0616,736
1881.HK,-0.0598,0.0598,736
0610.HK,-0.0594,0.0594,736
2777.HK,0.0496,0.0496,736
1146.HK,-0.0493,0.0493,736
0857.HK,0.0491,0.0491,736
1335.HK,0.0478,0.0478,736
3122.HK,-0.0465,0.0465,436
2558.HK,0.0453,0.0453,736
0912.HK,-0.0423,0.0423,736
0017.HK,-0.0406,0.0406,736
1343.HK,-0.0344,0.0344,736
0002.HK,0.0318,0.0318,736
1201.HK,-0.0309,0.0309,736
0604.HK,-0.0306,0.0306,736
2255.HK,0.0303,0.0303,736
0883.HK,-0.0227,0.0227,736
2138.HK,-0.0225,0.0225,736
2266.HK,-0.0198,0.0198,736
1099.HK,-0.0171,0.0171,736
0291.HK,0.0159,0.0159,736
0669.HK,-0.0129,0.0129,736
2877.HK,0.0124,0.0124,736
1708.HK,0.0115,0.0115,736
2057.HK,-0.0107,0.0107,736
1816.HK,-0.0102,0.0102,736
3015.HK,0.0096,0.0096,735
3383.HK,0.009,0.009,736
2442.HK,0.0034,0.0034,735
2522.HK,-0.0032,0.0032,469
1045.HK,0.0014,0.0014,736
